,imp_mean,imp_std
loan_amnt,0.00025333333333334986,0.00022070593809664997
funded_amnt,0.0,0.0
funded_amnt_inv,0.00030666666666669953,0.00016110727964795764
term,-6.666666666663713e-05,0.00017888543820000484
int_rate,-0.00025333333333328324,0.0006711846905948455
installment,0.0003466666666666951,0.00043287154881993604
grade,0.00013333333333331865,5.9628479399987825e-05
sub_grade,0.0005200000000000537,0.0001599999999999824
emp_length,0.004560000000000031,0.0009281762284777148
annual_inc,0.0016133333333333776,0.0008103771412812206
verification_status,-0.0001466666666666283,0.00022070593809664195
issue_d,0.0011066666666667002,0.0005744175794276991
loan_status,-7.999999999999118e-05,0.00014847371634211758
purpose,0.014813333333333345,0.0003222145592958575
addr_state,0.013226666666666675,0.0010080564358099225
dti,0.0008000000000000451,0.00045801504099512617
delinq_2yrs,-9.333333333332306e-05,0.00017178798302298277
earliest_cr_line,0.0004666666666666819,0.0004898979485566299
fico_range_high,0.0003066666666666773,0.0005052612085732314
inq_last_6mths,-0.00035999999999996034,0.000527636238330926
mths_since_last_delinq,-0.00038666666666662406,0.0002745501370929565
mths_since_last_record,-0.0005733333333332924,0.00026195843605850367
open_acc,-5.333333333328305e-05,0.00043695918955130635
pub_rec,0.00029333333333336764,0.00021746008573735688
revol_bal,0.0031200000000000117,0.0009144761706390565
revol_util,-0.0005866666666666243,0.00037333333333332877
total_acc,0.001573333333333382,0.0007138004700972791
initial_list_status,-2.666666666666373e-05,0.0002653299832284028
total_pymnt,0.0013066666666667003,0.00037142368739158025
total_pymnt_inv,0.0013600000000000279,0.00025854292572888705
total_rec_prncp,0.0008000000000000229,0.00018378731669451605
total_rec_int,-0.0008533333333332838,0.0003661208058065734
total_rec_late_fee,0.00010666666666669933,0.00020912516188479298
recoveries,0.00021333333333335426,0.0001359738536958427
collection_recovery_fee,-6.666666666665932e-05,8.432740427114749e-05
last_pymnt_d,0.000160000000000049,0.0006485539470408336
last_pymnt_amnt,0.0004133333333333544,0.0006042810236599653
last_credit_pull_d,0.0008400000000000407,0.00037853518844208935
collections_12_mths_ex_med,3.999999999999559e-05,5.333333333332746e-05
mths_since_last_major_derog,0.0004400000000000182,0.00032000000000000734
application_type,0.0,0.0
annual_inc_joint,6.666666666665932e-05,4.2163702135573745e-05
dti_joint,4.00000000000178e-05,0.00018184242262648574
verification_status_joint,0.0,0.0
acc_now_delinq,0.0,0.0
tot_coll_amt,9.333333333334526e-05,0.0001236482466066269
tot_cur_bal,0.03530666666666671,0.0016207542825624273
open_acc_6m,0.00012000000000000899,0.00012220201853218105
open_act_il,9.333333333334526e-05,0.0002254871270038488
open_il_12m,0.00013333333333334085,0.00011155467020457093
open_il_24m,0.00025333333333337204,0.00019955506062797052
mths_since_rcnt_il,-0.00029333333333332324,0.00039237170585499156
total_bal_il,0.000373333333333381,0.0003832028763519926
il_util,-0.0002666666666666595,0.0003238655413730974
open_rv_12m,0.00024000000000001798,0.00011623730516112021
open_rv_24m,-0.0001466666666666283,0.00034097898273451163
max_bal_bc,-0.00015999999999996017,0.00041867515914957213
all_util,-9.333333333330084e-05,0.0002686592223947986
total_rev_hi_lim,-0.0004399999999999737,0.0006621178142898734
inq_fi,0.0007333333333333636,0.00024221202832777267
total_cu_tl,0.00013333333333336305,0.000304046780026452
inq_last_12m,0.00030666666666669953,0.0004891716354091601
acc_open_past_24mths,0.0012000000000000454,0.00030110906108364837
avg_cur_bal,0.003866666666666707,0.0003602468289628278
bc_open_to_buy,-0.000506666666666633,0.0005474790711372941
bc_util,0.0005733333333333368,0.0008789893186053219
chargeoff_within_12_mths,0.0,0.0
delinq_amnt,2.666666666666373e-05,6.79869268478963e-05
mo_sin_old_il_acct,-0.00031999999999998696,0.0005787342510456374
mo_sin_old_rev_tl_op,0.0016800000000000148,0.000899777750336138
mo_sin_rcnt_rev_tl_op,0.00044000000000004035,0.00017178798302301378
mo_sin_rcnt_tl,-0.00013333333333329645,0.0006586180818788556
mort_acc,0.09409333333333336,0.002678838886117987
mths_since_recent_bc,8.00000000000134e-05,0.00047403703559015557
mths_since_recent_bc_dlq,0.0003066666666666773,0.00013063945294847616
mths_since_recent_inq,0.0030400000000000427,0.000561901533485467
mths_since_recent_revol_delinq,-0.00039999999999997817,0.0005887840577552054
num_accts_ever_120_pd,0.001680000000000037,0.000577196288584362
num_actv_bc_tl,0.00021333333333337646,0.00018571184369581883
num_actv_rev_tl,0.0009600000000000275,0.0002784081735709418
num_bc_sats,-3.999999999997339e-05,0.0002908989897236155
num_bc_tl,0.0001866666666666905,0.00020827332469086667
num_il_tl,0.0015200000000000103,0.0006671997868371417
num_op_rev_tl,0.0001600000000000046,8.00000000000208e-05
num_rev_accts,0.000280000000000058,0.00018086213288336312
num_rev_tl_bal_gt_0,-5.333333333330525e-05,0.0004960286730063764
num_sats,9.333333333334526e-05,0.00019136933459211214
num_tl_120dpd_2m,0.0,0.0
num_tl_30dpd,0.004706666666666681,0.00043532873912837836
num_tl_90g_dpd_24m,-2.666666666666373e-05,3.265986323710544e-05
num_tl_op_past_12m,-7.999999999999118e-05,0.0001857118436957678
pct_tl_nvr_dlq,0.00022666666666670832,0.0004434210439550876
percent_bc_gt_75,-0.000626666666666642,0.0003923717058550014
pub_rec_bankruptcies,8.00000000000134e-05,0.00012927146286446472
tax_liens,2.666666666666373e-05,5.333333333332746e-05
tot_hi_cred_lim,0.017386666666666682,0.0024568814921901894
total_bal_ex_mort,0.010626666666666696,0.0011567002876958217
total_bc_limit,0.0008666666666667045,0.0005042045440316932
total_il_high_credit_limit,0.0010800000000000588,0.0009525637919728979
revol_bal_joint,-0.0001466666666666505,0.00011469767022722238
sec_app_fico_range_low,0.0,0.0
sec_app_fico_range_high,0.0,0.0
sec_app_earliest_cr_line,0.00024000000000001798,0.00018184242262650526
sec_app_inq_last_6mths,0.0,4.2163702135573745e-05
sec_app_mort_acc,0.0002666666666667261,8.43274042711826e-05
sec_app_open_acc,0.0,0.0
sec_app_revol_util,-5.333333333332746e-05,2.666666666666373e-05
sec_app_open_act_il,-1.3333333333331865e-05,0.000154344492037186
sec_app_num_rev_accts,0.0,0.0
sec_app_chargeoff_within_12_mths,0.0,0.0
sec_app_collections_12_mths_ex_med,0.0,0.0
sec_app_mths_since_last_major_derog,-6.666666666665932e-05,0.0
hardship_reason,0.0,0.0
hardship_status,0.0,0.0
hardship_amount,0.0,7.30296743340141e-05
hardship_start_date,0.0,0.0
hardship_end_date,-6.666666666665932e-05,0.0
payment_plan_start_date,-2.666666666666373e-05,3.265986323710544e-05
hardship_dpd,0.0,4.2163702135573745e-05
hardship_loan_status,0.0,0.0
orig_projected_additional_accrued_interest,0.0,0.0
hardship_payoff_balance_amount,0.0,0.0
hardship_last_payment_amount,0.0,0.0
debt_settlement_flag,0.0,0.0
debt_settlement_flag_date,5.333333333332746e-05,2.666666666666373e-05
settlement_status,0.0,7.30296743340141e-05
settlement_date,0.0,4.2163702135573745e-05
settlement_amount,-0.00011999999999998679,0.0001423610433604018
settlement_percentage,2.666666666666373e-05,5.333333333332746e-05
settlement_term,-6.666666666665932e-05,4.2163702135573745e-05
