RANDOM,RANDOM_PLACE,A100,A100_PLACE,B100,B100_PLACE,GREEDY,GREEDY_PLACE,GENEROUS,GENEROUS_PLACE,MINIMAX,MINIMAX_PLACE,TIT_FOR_TAT,TIT_FOR_TAT_PLACE,BEAT_LAST,BEAT_LAST_PLACE
1045,5,694,7,1450,3,1462,1,1450,4,694,8,964,6,1453,2
926,8,936,7,1024,5,1032,4,1040,3,946,6,1046,1,1044,2
935,6,907,7,1076,5,1083,4,1097,3,901,8,1212,2,1225,1
718,6,421,8,1141,3,1177,1,1150,2,427,7,979,5,1003,4
738,6,1134,2,502,7,1122,3,1152,1,498,8,936,4,934,5
1256,6,1120,7,1393,1,1390,3,1391,2,1120,8,1301,5,1386,4
656,6,407,8,909,3,910,2,912,1,410,7,685,5,907,4
624,6,230,7,1014,4,1020,3,1024,1,229,8,751,5,1022,2
802,6,662,7,912,4,928,2,932,1,662,8,834,5,916,3
861,5,1000,1,710,7,985,2,709,8,985,3,737,6,903,4
885,5,728,8,1010,3,1011,2,733,7,1010,4,879,6,1012,1
1195,6,1600,1,847,8,1600,2,1600,3,850,7,1366,5,1600,4